landmark_id,label,n_available,n_sampled
192349,377,223,80
40980,378,222,80
192701,379,222,80
21613,380,221,80
44052,381,221,80
52381,382,221,80
106852,383,221,80
145934,384,221,80
161592,385,221,80
195382,386,221,80
28278,387,220,80
112135,388,220,80
186615,389,220,80
200931,390,220,80
56767,391,219,80
103848,392,219,80
117861,393,219,80
122246,394,219,80
181602,395,219,80
183574,396,219,80
21279,397,218,80
199188,398,218,80
59831,399,217,80
82386,400,217,80
129256,401,217,80
147235,402,217,80
148045,403,217,80
19455,404,216,80
41691,405,216,80
49251,406,216,80
67480,407,216,80
74910,408,216,80
115979,409,216,80
128435,410,216,80
135591,411,216,80
164428,412,216,80
15138,413,215,80
81049,414,215,80
95905,415,215,80
98699,416,215,80
156356,417,215,80
2586,418,214,80
102544,419,214,80
133530,420,214,80
139245,421,214,80
182973,422,213,80
68264,423,212,80
92275,424,212,80
179775,425,212,80
199222,426,212,80
2838,427,211,80
40111,428,211,80
60532,429,211,80
159476,430,211,80
164406,431,211,80
190144,432,211,80
18409,433,210,80
47176,434,210,80
68501,435,210,80
100895,436,210,80
162345,437,210,80
22494,438,209,80
29333,439,209,80
31371,440,209,80
40530,441,209,80
86918,442,209,80
173825,443,209,80
98894,444,208,80
128234,445,208,80
132978,446,208,80
133041,447,208,80
26028,448,207,80
80249,449,207,80
106126,450,207,80
151054,451,207,80
167988,452,207,80
194692,453,207,80
19130,454,206,80
40770,455,206,80
67353,456,206,80
76393,457,206,80
94575,458,206,80
112481,459,206,80
121049,460,206,80
123731,461,206,80
175238,462,206,80
195862,463,206,80
113769,464,205,80
145768,465,205,80
62054,466,204,80
65141,467,204,80
133550,468,204,80
190869,469,204,80
30640,470,203,80
44470,471,203,80
79922,472,203,80
114090,473,203,80
164103,474,203,80
176342,475,203,80
59272,476,202,80
1127,477,201,80
38691,478,201,80
83282,479,201,80
92224,480,201,80
108591,481,201,80
199735,482,201,80
11544,483,200,80
61553,484,200,80
88331,485,200,80
95194,486,200,80
118856,487,200,80
125194,488,200,80
176862,489,200,80
190644,490,200,80
52547,491,199,80
69960,492,199,80
81281,493,199,80
71756,494,198,80
126619,495,198,80
134311,496,198,80
170720,497,198,80
186538,498,198,80
117874,499,197,80
137624,500,197,80
142889,501,197,80
165577,502,197,80
173857,503,197,80
177194,504,197,80
193781,505,197,80
21738,506,196,80
53092,507,196,80
171772,508,196,80
11595,509,195,80
88782,510,195,80
120558,511,195,80
34539,512,194,80
60563,513,194,80
103232,514,194,80
185455,515,194,80
870,516,193,80
20740,517,193,80
73954,518,193,80
98460,519,193,80
149805,520,193,80
181298,521,193,80
32004,522,192,80
117885,523,192,80
178519,524,192,80
200887,525,192,80
62850,526,191,80
77856,527,191,80
119571,528,191,80
160240,529,191,80
194198,530,191,80
81788,531,190,80
82734,532,190,80
97734,533,190,80
104792,534,190,80
136776,535,190,80
158155,536,190,80
174715,537,190,80
18388,538,189,80
50915,539,189,80
61505,540,189,80
83392,541,189,80
90647,542,189,80
106793,543,189,80
21680,544,188,80
35098,545,188,80
38610,546,188,80
76344,547,188,80
85447,548,188,80
102664,549,188,80
126159,550,188,80
134316,551,188,80
7753,552,187,80
8098,553,187,80
21838,554,187,80
89207,555,187,80
183037,556,187,80
32560,557,186,80
73647,558,186,80
108146,559,186,80
112037,560,186,80
164705,561,186,80
16610,562,185,80
94381,563,185,80
104341,564,185,80
145429,565,185,80
153401,566,185,80
198838,567,185,80
199815,568,185,80
37768,569,184,80
87987,570,184,80
98179,571,184,80
111224,572,184,80
143513,573,184,80
4707,574,183,80
23538,575,183,80
34120,576,183,80
45600,577,183,80
86146,578,183,80
107973,579,183,80
130282,580,183,80
134309,581,183,80
158629,582,183,80
167037,583,183,80
7159,584,182,80
25731,585,182,80
94054,586,182,80
168311,587,182,80
176899,588,182,80
191934,589,182,80
10090,590,181,80
67599,591,181,80
78426,592,181,80
86927,593,181,80
166072,594,181,80
173083,595,181,80
32657,596,180,80
45192,597,180,80
52773,598,180,80
81209,599,180,80
93699,600,180,80
138132,601,180,80
188451,602,180,80
24024,603,179,80
104906,604,179,80
122142,605,179,80
134456,606,179,80
142704,607,179,80
146370,608,179,80
164779,609,179,80
178660,610,179,80
183541,611,179,80
19095,612,178,80
34452,613,178,80
42054,614,178,80
84689,615,178,80
142296,616,178,80
145785,617,178,80
162141,618,178,80
192317,619,178,80
194130,620,178,80
2185,621,177,80
14135,622,177,80
31306,623,177,80
57378,624,177,80
80801,625,177,80
93154,626,177,80
116265,627,177,80
152181,628,177,80
164734,629,177,80
194037,630,177,80
12877,631,176,80
139977,632,176,80
141860,633,176,80
147047,634,176,80
161545,635,176,80
165985,636,176,80
167548,637,176,80
4137,638,175,80
28119,639,175,80
28230,640,175,80
62702,641,175,80
90632,642,175,80
110908,643,175,80
119615,644,175,80
121864,645,175,80
125631,646,175,80
130906,647,175,80
131107,648,175,80
156914,649,175,80
171901,650,175,80
15720,651,174,80
34840,652,174,80
45993,653,174,80
66275,654,174,80
82233,655,174,80
88006,656,174,80
105676,657,174,80
110496,658,174,80
119223,659,174,80
133734,660,174,80
165415,661,174,80
196877,662,174,80
19451,663,173,80
29912,664,173,80
50484,665,173,80
80299,666,173,80
85476,667,173,80
99851,668,173,80
159765,669,173,80
181658,670,173,80
191889,671,173,80
199209,672,173,80
76110,673,172,80
83061,674,172,80
94881,675,172,80
96455,676,172,80
153945,677,172,80
6679,678,171,80
31880,679,171,80
49872,680,171,80
58893,681,171,80
94109,682,171,80
119918,683,171,80
146250,684,171,80
200305,685,171,80
52897,686,170,80
77386,687,170,80
96412,688,170,80
122228,689,170,80
136886,690,170,80
144588,691,170,80
2936,692,169,80
28136,693,169,80
59470,694,169,80
63529,695,169,80
122022,696,169,80
126267,697,169,80
127523,698,169,80
132787,699,169,80
189231,700,169,80
39293,701,168,80
68226,702,168,80
166739,703,168,80
182430,704,168,80
52150,705,167,80
60332,706,167,80
84042,707,167,80
103530,708,167,80
122574,709,167,80
122791,710,167,80
123159,711,167,80
148841,712,167,80
7666,713,166,80
50233,714,166,80
61271,715,166,80
69743,716,166,80
109082,717,166,80
152966,718,166,80
161409,719,166,80
167512,720,166,80
35855,721,165,80
80402,722,165,80
201051,723,165,80
44067,724,164,80
63344,725,164,80
63443,726,164,80
82117,727,164,80
82666,728,164,80
82936,729,164,80
110398,730,164,80
120541,731,164,80
129475,732,164,80
135993,733,164,80
144734,734,164,80
198229,735,164,80
74559,736,163,80
80488,737,163,80
83467,738,163,80
106086,739,163,80
106924,740,163,80
131669,741,163,80
1101,742,162,80
3747,743,162,80
8834,744,162,80
27512,745,162,80
51329,746,162,80
155699,747,162,80
167929,748,162,80
196886,749,162,80
13738,750,161,80
39070,751,161,80
69193,752,161,80
76253,753,161,80
89435,754,161,80
102680,755,161,80
111382,756,161,80
122234,757,161,80
138176,758,161,80
183099,759,161,80
187209,760,161,80
5192,761,160,80
60661,762,160,80
67416,763,160,80
126046,764,160,80
156134,765,160,80
167030,766,160,80
188195,767,160,80
13943,768,159,80
29429,769,159,80
31480,770,159,80
55766,771,159,80
67685,772,159,80
100951,773,159,80
102375,774,159,80
131748,775,159,80
143954,776,159,80
157511,777,159,80
5088,778,158,80
20153,779,158,80
40152,780,158,80
52678,781,158,80
61727,782,158,80
66929,783,158,80
74063,784,158,80
123079,785,158,80
139671,786,158,80
142910,787,158,80
173350,788,158,80
175757,789,158,80
180346,790,158,80
3690,791,157,80
13755,792,157,80
35910,793,157,80
42547,794,157,80
50663,795,157,80
67610,796,157,80
72365,797,157,80
102917,798,157,80
104030,799,157,80
105337,800,157,80
133681,801,157,80
152827,802,157,80
183672,803,157,80
186258,804,157,80
196358,805,157,80
14387,806,156,80
55276,807,156,80
99133,808,156,80
128697,809,156,80
136080,810,156,80
174275,811,156,80
175774,812,156,80
200688,813,156,80
202723,814,156,80
7223,815,155,80
20981,816,155,80
43017,817,155,80
62313,818,155,80
71336,819,155,80
87544,820,155,80
105447,821,155,80
124838,822,155,80
129164,823,155,80
142674,824,155,80
161287,825,155,80
167692,826,155,80
4107,827,154,80
33515,828,154,80
61925,829,154,80
81564,830,154,80
86213,831,154,80
93198,832,154,80
94269,833,154,80
113590,834,154,80
133575,835,154,80
152950,836,154,80
168148,837,154,80
169349,838,154,80
174069,839,154,80
177770,840,154,80
185200,841,154,80
5453,842,153,80
46717,843,153,80
50683,844,153,80
79844,845,153,80
88853,846,153,80
102712,847,153,80
104406,848,153,80
108502,849,153,80
168857,850,153,80
176488,851,153,80
186908,852,153,80
14900,853,152,80
59742,854,152,80
111347,855,152,80
111455,856,152,80
114046,857,152,80
127272,858,152,80
172242,859,152,80
191666,860,152,80
201267,861,152,80
9706,862,151,80
10903,863,151,80
25296,864,151,80
35005,865,151,80
37048,866,151,80
37835,867,151,80
41985,868,151,80
42539,869,151,80
62843,870,151,80
70909,871,151,80
85646,872,151,80
85791,873,151,80
115919,874,151,80
136698,875,151,80
140248,876,151,80
171077,877,151,80
202892,878,151,80
3732,879,150,80
25954,880,150,80
79754,881,150,80
84194,882,150,80
96420,883,150,80
114946,884,150,80
127677,885,150,80
129529,886,150,80
182935,887,150,80
192398,888,150,80
198792,889,150,80
28867,890,149,80
72446,891,149,80
73092,892,149,80
110929,893,149,80
114745,894,149,80
122400,895,149,80
122610,896,149,80
145990,897,149,80
155007,898,149,80
187563,899,149,80
14160,900,148,80
19282,901,148,80
55412,902,148,80
60603,903,148,80
64625,904,148,80
71090,905,148,80
76200,906,148,80
81471,907,148,80
88472,908,148,80
103827,909,148,80
118353,910,148,80
122658,911,148,80
126599,912,148,80
127894,913,148,80
134676,914,148,80
135798,915,148,80
148585,916,148,80
152227,917,148,80
156363,918,148,80
167223,919,148,80
178720,920,148,80
181074,921,148,80
196454,922,148,80
197585,923,148,80
21497,924,147,80
26136,925,147,80
36161,926,147,80
38879,927,147,80
43003,928,147,80
58845,929,147,80
72615,930,147,80
82155,931,147,80
96471,932,147,80
131755,933,147,80
135648,934,147,80
138208,935,147,80
157981,936,147,80
181508,937,147,80
202388,938,147,80
3410,939,146,80
23582,940,146,80
31413,941,146,80
52082,942,146,80
57043,943,146,80
67109,944,146,80
68177,945,146,80
74050,946,146,80
91132,947,146,80
127442,948,146,80
130330,949,146,80
134303,950,146,80
179486,951,146,80
190283,952,146,80
193962,953,146,80
7930,954,145,80
83504,955,145,80
87785,956,145,80
96842,957,145,80
118886,958,145,80
144191,959,145,80
169021,960,145,80
177452,961,145,80
184512,962,145,80
189988,963,145,80
200858,964,145,80
18855,965,144,80
26434,966,144,80
44368,967,144,80
44570,968,144,80
67619,969,144,80
75263,970,144,80
103295,971,144,80
148872,972,144,80
152795,973,144,80
165247,974,144,80
202915,975,144,80
27947,976,143,80
46296,977,143,80
70414,978,143,80
71405,979,143,80
81964,980,143,80
98143,981,143,80
125483,982,143,80
127496,983,143,80
136821,984,143,80
149328,985,143,80
149649,986,143,80
168547,987,143,80
170025,988,143,80
177007,989,143,80
188088,990,143,80
80138,991,142,80
90025,992,142,80
101176,993,142,80
122852,994,142,80
134012,995,142,80
145735,996,142,80
152306,997,142,80
169413,998,142,80
180646,999,142,80
